COD_REG;COD_ISTAT;PRO_COM;SEZ2011;SEZ;COD_LOC;TIPO_LOC
15.0;15064077.0;64077.0;640770000004;4.0;10001.0;1.0
15.0;15064034.0;64034.0;640340000009;9.0;20001.0;2.0
15.0;15064105.0;64105.0;641050000005;5.0;40001.0;4.0
15.0;15064049.0;64049.0;640490000010;10.0;10001.0;1.0
15.0;15064047.0;64047.0;640470000001;1.0;10001.0;1.0
15.0;15064113.0;64113.0;641130000007;7.0;26701.0;2.0
15.0;15062032.0;62032.0;620320000011;11.0;10003.0;1.0
15.0;15062032.0;62032.0;620320000010;10.0;10002.0;1.0
15.0;15061075.0;61075.0;610750000006;6.0;10002.0;1.0
15.0;15061075.0;61075.0;610750000008;8.0;10002.0;1.0
15.0;15061082.0;61082.0;610820000002;2.0;10001.0;1.0
15.0;15061028.0;61028.0;610280000032;32.0;10003.0;1.0
15.0;15061048.0;61048.0;610480000179;179.0;10005.0;1.0
15.0;15061028.0;61028.0;610280000018;18.0;10001.0;1.0
15.0;15063050.0;63050.0;630500000321;321.0;10007.0;1.0
15.0;15063027.0;63027.0;630270000050;50.0;40001.0;4.0
15.0;15061048.0;61048.0;610480000086;86.0;10005.0;1.0
15.0;15061048.0;61048.0;610480000185;185.0;10004.0;1.0
15.0;15061075.0;61075.0;610750000001;1.0;10002.0;1.0
15.0;15061048.0;61048.0;610480000131;131.0;10004.0;1.0
15.0;15062032.0;62032.0;620320000003;3.0;10002.0;1.0
15.0;15062032.0;62032.0;620320000009;9.0;10002.0;1.0
15.0;15061048.0;61048.0;610480000180;180.0;10005.0;1.0
15.0;15061082.0;61082.0;610820000009;9.0;10001.0;1.0
15.0;15063050.0;63050.0;630500000428;428.0;40012.0;4.0
15.0;15062032.0;62032.0;620320000013;13.0;20001.0;2.0
15.0;15061075.0;61075.0;610750000002;2.0;10002.0;1.0
15.0;15062032.0;62032.0;620320000008;8.0;10001.0;1.0
15.0;15062032.0;62032.0;620320000007;7.0;10001.0;1.0
15.0;15062032.0;62032.0;620320000002;2.0;10001.0;1.0
15.0;15062005.0;62005.0;620050000001;1.0;10001.0;1.0
15.0;15061048.0;61048.0;610480000113;113.0;20013.0;2.0
15.0;15061075.0;61075.0;610750000010;10.0;10002.0;1.0
15.0;15061028.0;61028.0;610280000024;24.0;10001.0;1.0
15.0;15061028.0;61028.0;610280000013;13.0;26603.0;2.0
15.0;15063065.0;63065.0;630650000021;21.0;10002.0;1.0
15.0;15061028.0;61028.0;610280000021;21.0;10001.0;1.0
15.0;15061082.0;61082.0;610820000012;12.0;10001.0;1.0
15.0;15063050.0;63050.0;630500000409;409.0;10007.0;1.0
15.0;15064038.0;64038.0;640380000002;2.0;10002.0;1.0
15.0;15064012.0;64012.0;640120000013;13.0;26611.0;2.0
15.0;15064048.0;64048.0;640480000011;11.0;10001.0;1.0
15.0;15064005.0;64005.0;640050000111;111.0;40001.0;4.0
15.0;15064052.0;64052.0;640520000028;28.0;10002.0;1.0
15.0;15064116.0;64116.0;641160000022;22.0;26611.0;2.0
15.0;15064012.0;64012.0;640120000040;40.0;40001.0;4.0
15.0;15064052.0;64052.0;640520000022;22.0;20014.0;2.0
15.0;15064020.0;64020.0;640200000005;5.0;26601.0;2.0
15.0;15064052.0;64052.0;640520000021;21.0;20012.0;2.0
15.0;15064005.0;64005.0;640050000038;38.0;40001.0;4.0
15.0;15064052.0;64052.0;640520000004;4.0;10003.0;1.0
15.0;15064038.0;64038.0;640380000032;32.0;10002.0;1.0
15.0;15064056.0;64056.0;640560000006;6.0;20001.0;2.0
15.0;15064005.0;64005.0;640050000080;80.0;40001.0;4.0
