zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren
B;kE8E9;100-200;100-200;<50;78.48
B;kE8E9;100-200;100-200;50-100;109.23
B;kE8E9;100-200;100-200;100-200;90.25
B;kE8E9;100-200;100-200;200-500;119.74
B;kE8E9;100-200;100-200;500-1000;118.03
B;kE8E9;100-200;200-500;<50;106.81
B;kE8E9;100-200;200-500;50-100;97.3
B;kE8E9;100-200;200-500;100-200;106.38
B;kE8E9;100-200;200-500;200-500;153.55
B;kE8E9;100-200;200-500;500-1000;215.34
B;kE8E9;100-200;200-500;1000-5000;505.03
B;kE8E9;100-200;500-1000;<50;94.7
B;kE8E9;100-200;500-1000;50-100;92.48
B;kE8E9;100-200;500-1000;100-200;91.56
B;kE8E9;100-200;500-1000;200-500;139.23
B;kE8E9;100-200;500-1000;500-1000;186.89
B;kE8E9;100-200;500-1000;1000-5000;350.78
B;kE8E9;100-200;1000-5000;50-100;78.3
B;kE8E9;100-200;1000-5000;100-200;69.53
B;kE8E9;100-200;1000-5000;200-500;134.39
B;kE8E9;100-200;1000-5000;500-1000;213.98
B;kE8E9;100-200;1000-5000;1000-5000;251.07
B;kE8E9;200-500;50-100;200-500;55.29
B;kE8E9;200-500;100-200;100-200;36.02
B;kE8E9;200-500;100-200;500-1000;106.41
B;kE8E9;200-500;200-500;50-100;125.97
B;kE8E9;200-500;200-500;100-200;88.0
B;kE8E9;200-500;200-500;200-500;101.97
B;kE8E9;200-500;500-1000;<50;101.61
B;kE8E9;200-500;500-1000;50-100;64.1
B;kE8E9;200-500;500-1000;100-200;97.46
B;kE8E9;200-500;500-1000;200-500;98.6
B;kE8E9;200-500;500-1000;500-1000;142.98
B;kE8E9;200-500;500-1000;1000-5000;230.01
B;kE8E9;200-500;1000-5000;<50;113.81
B;kE8E9;200-500;1000-5000;50-100;50.29
B;kE8E9;200-500;1000-5000;100-200;53.6
B;kE8E9;200-500;1000-5000;200-500;93.53
B;kE8E9;200-500;1000-5000;500-1000;138.49
B;kE8E9;200-500;1000-5000;1000-5000;158.49
B;kE8E9;500-1000;200-500;500-1000;51.92
B;kE8E9;500-1000;500-1000;200-500;36.35
B;kE8E9;500-1000;1000-5000;<50;58.98
B;kE8E9;500-1000;1000-5000;100-200;30.52
B;kE8E9;500-1000;1000-5000;500-1000;90.79
B;kE8E9;500-1000;1000-5000;1000-5000;85.17
B;kE10E11;<50;50-100;<50;138.63
B;kE10E11;<50;50-100;50-100;200.98
B;kE10E11;<50;50-100;100-200;259.59
B;kE10E11;<50;50-100;200-500;414.73
B;kE10E11;<50;50-100;500-1000;86.85
B;kE10E11;<50;100-200;<50;121.43
B;kE10E11;<50;100-200;50-100;129.08
B;kE10E11;<50;100-200;100-200;187.64
B;kE10E11;<50;100-200;200-500;236.33
B;kE10E11;<50;100-200;500-1000;337.71
B;kE10E11;<50;200-500;<50;154.45
B;kE10E11;<50;200-500;50-100;129.45
B;kE10E11;<50;200-500;100-200;164.21
B;kE10E11;<50;200-500;200-500;234.21
B;kE10E11;<50;200-500;500-1000;413.21
B;kE10E11;<50;500-1000;<50;161.63
B;kE10E11;<50;500-1000;50-100;133.38
B;kE10E11;<50;500-1000;100-200;227.23
B;kE10E11;<50;500-1000;200-500;356.21
B;kE10E11;<50;500-1000;500-1000;655.89
B;kE10E11;<50;1000-5000;100-200;268.3
B;kE10E11;<50;1000-5000;200-500;83.91
B;kE10E11;<50;1000-5000;500-1000;353.42
B;kE10E11;50-100;50-100;<50;128.27
B;kE10E11;50-100;50-100;50-100;91.16
B;kE10E11;50-100;50-100;100-200;106.24
B;kE10E11;50-100;50-100;200-500;196.32
B;kE10E11;50-100;100-200;<50;121.66
B;kE10E11;50-100;100-200;50-100;112.49
B;kE10E11;50-100;100-200;100-200;148.74
B;kE10E11;50-100;100-200;200-500;188.21
B;kE10E11;50-100;100-200;500-1000;384.17
B;kE10E11;50-100;100-200;1000-5000;270.51
B;kE10E11;50-100;200-500;<50;114.53
B;kE10E11;50-100;200-500;50-100;95.41
B;kE10E11;50-100;200-500;100-200;120.38
B;kE10E11;50-100;200-500;200-500;177.26
B;kE10E11;50-100;200-500;500-1000;277.89
B;kE10E11;50-100;200-500;1000-5000;311.76
B;kE10E11;50-100;500-1000;<50;77.06
B;kE10E11;50-100;500-1000;50-100;153.65
