zona_climatica;Superficie Utile Riscaldata;Volume Lordo Riscaldato;EPgl_nren;EPgl_ren;CO2
D;>5000;100-200;0.0;0.0;0.0
D;>5000;200-500;0.0;0.0;0.0
D;>5000;500-1000;0.0;0.0;0.0
D;>5000;1000-5000;0.0;0.0;0.0
D;>5000;5000-10000;0.0;0.0;0.0
D;>5000;>10000;0.0;0.0;0.0
E;<50;<50;0.0;0.0;0.0
E;<50;50-100;269.02;27.51;54.14
E;<50;100-200;206.8;18.11;41.62
E;<50;200-500;227.2;22.09;45.29
E;<50;500-1000;277.27;20.81;55.03
E;<50;1000-5000;209.11;18.47;42.83
E;<50;5000-10000;0.0;0.0;0.0
E;<50;>10000;0.0;0.0;0.0
E;50-100;<50;0.0;0.0;0.0
E;50-100;50-100;212.36;12.58;42.54
E;50-100;100-200;187.15;12.9;37.83
E;50-100;200-500;191.71;14.72;38.45
E;50-100;500-1000;208.38;32.29;41.45
E;50-100;1000-5000;248.03;18.28;49.67
E;50-100;5000-10000;0.0;0.0;0.0
E;50-100;>10000;0.0;0.0;0.0
E;100-200;<50;0.0;0.0;0.0
E;100-200;50-100;191.06;8.72;38.54
E;100-200;100-200;190.46;14.9;38.65
E;100-200;200-500;189.46;17.62;38.06
E;100-200;500-1000;184.44;28.16;37.01
E;100-200;1000-5000;215.95;34.46;43.62
E;100-200;5000-10000;0.0;0.0;0.0
E;100-200;>10000;0.0;0.0;0.0
E;200-500;<50;0.0;0.0;0.0
E;200-500;50-100;169.45;16.5;32.18
E;200-500;100-200;174.98;19.25;37.73
E;200-500;200-500;167.72;16.36;34.2
E;200-500;500-1000;178.78;25.08;35.92
E;200-500;1000-5000;172.07;29.52;34.7
E;200-500;5000-10000;0.0;0.0;0.0
E;200-500;>10000;0.0;0.0;0.0
E;500-1000;<50;0.0;0.0;0.0
E;500-1000;50-100;0.0;0.0;0.0
E;500-1000;100-200;190.46;2.05;37.59
E;500-1000;200-500;138.41;9.27;28.3
E;500-1000;500-1000;184.98;5.89;38.1
E;500-1000;1000-5000;170.33;16.35;34.36
E;500-1000;5000-10000;0.0;0.0;0.0
E;500-1000;>10000;0.0;0.0;0.0
E;1000-5000;<50;0.0;0.0;0.0
E;1000-5000;50-100;0.0;0.0;0.0
E;1000-5000;100-200;0.0;0.0;0.0
E;1000-5000;200-500;0.0;0.0;0.0
E;1000-5000;500-1000;0.0;0.0;0.0
E;1000-5000;1000-5000;0.0;0.0;0.0
E;1000-5000;5000-10000;0.0;0.0;0.0
E;1000-5000;>10000;0.0;0.0;0.0
E;>5000;<50;0.0;0.0;0.0
E;>5000;50-100;0.0;0.0;0.0
E;>5000;100-200;0.0;0.0;0.0
E;>5000;200-500;0.0;0.0;0.0
E;>5000;500-1000;0.0;0.0;0.0
E;>5000;1000-5000;0.0;0.0;0.0
E;>5000;5000-10000;0.0;0.0;0.0
E;>5000;>10000;0.0;0.0;0.0
F;<50;<50;0.0;0.0;0.0
F;<50;50-100;278.06;29.08;60.35
F;<50;100-200;255.34;31.66;54.64
F;<50;200-500;274.81;39.06;56.61
F;<50;500-1000;236.74;10.73;55.45
F;<50;1000-5000;262.91;50.76;54.74
F;<50;5000-10000;0.0;0.0;0.0
F;<50;>10000;0.0;0.0;0.0
F;50-100;<50;0.0;0.0;0.0
F;50-100;50-100;278.66;20.17;58.16
F;50-100;100-200;240.58;28.31;51.84
F;50-100;200-500;241.92;31.79;50.98
F;50-100;500-1000;227.22;52.79;47.58
F;50-100;1000-5000;275.41;18.69;52.38
F;50-100;5000-10000;0.0;0.0;0.0
F;50-100;>10000;0.0;0.0;0.0
F;100-200;<50;0.0;0.0;0.0
F;100-200;50-100;244.65;18.61;49.9
F;100-200;100-200;259.92;12.05;53.08
F;100-200;200-500;228.56;34.08;48.28
F;100-200;500-1000;212.09;44.79;44.65
F;100-200;1000-5000;223.43;52.65;48.29
F;100-200;5000-10000;0.0;0.0;0.0
F;100-200;>10000;0.0;0.0;0.0
F;200-500;<50;0.0;0.0;0.0
F;200-500;50-100;225.15;0.42;55.55
F;200-500;100-200;184.95;2.68;41.48
F;200-500;200-500;206.15;39.27;42.93
F;200-500;500-1000;203.59;39.86;43.44
F;200-500;1000-5000;185.26;43.0;39.96
