zona_climatica;periodo;Superficie Utile Riscaldata;Volume Lordo Riscaldato;Superficie Disperdente;EPgl_nren;EPgl_ren;CO2
B;kE8E9;100-200;1000-5000;200-500;134.04;15.05;27.48
B;kE8E9;100-200;1000-5000;500-1000;214.22;23.45;43.68
B;kE8E9;100-200;1000-5000;1000-5000;251.07;15.5;50.77
B;kE8E9;200-500;50-100;200-500;55.29;0.59;11.15
B;kE8E9;200-500;100-200;100-200;36.02;0.0;7.2
B;kE8E9;200-500;100-200;500-1000;106.41;6.54;20.89
B;kE8E9;200-500;200-500;50-100;125.97;5.28;25.98
B;kE8E9;200-500;200-500;100-200;88.0;3.15;18.07
B;kE8E9;200-500;200-500;200-500;106.23;16.96;22.33
B;kE8E9;200-500;500-1000;<50;101.61;18.05;21.68
B;kE8E9;200-500;500-1000;50-100;64.66;9.71;13.84
B;kE8E9;200-500;500-1000;100-200;96.94;12.43;19.94
B;kE8E9;200-500;500-1000;200-500;98.49;11.93;19.76
B;kE8E9;200-500;500-1000;500-1000;143.19;13.31;29.46
B;kE8E9;200-500;500-1000;1000-5000;230.01;5.15;45.76
B;kE8E9;200-500;1000-5000;<50;113.81;21.42;24.42
B;kE8E9;200-500;1000-5000;50-100;50.29;6.61;10.38
B;kE8E9;200-500;1000-5000;100-200;53.6;3.3;11.22
B;kE8E9;200-500;1000-5000;200-500;94.56;11.87;19.25
B;kE8E9;200-500;1000-5000;500-1000;138.49;23.76;27.7
B;kE8E9;200-500;1000-5000;1000-5000;158.49;23.66;32.45
B;kE8E9;500-1000;200-500;500-1000;51.92;6.03;11.28
B;kE8E9;500-1000;500-1000;200-500;36.35;0.17;7.3
B;kE8E9;500-1000;1000-5000;<50;58.98;12.24;12.82
B;kE8E9;500-1000;1000-5000;100-200;30.52;1.49;6.13
B;kE8E9;500-1000;1000-5000;500-1000;90.79;12.65;19.99
B;kE8E9;500-1000;1000-5000;1000-5000;85.17;7.63;17.31
B;kE10E11;<50;50-100;<50;137.93;19.96;29.85
B;kE10E11;<50;50-100;50-100;200.98;16.48;41.43
B;kE10E11;<50;50-100;100-200;260.68;19.96;53.19
B;kE10E11;<50;50-100;200-500;414.73;13.54;84.96
B;kE10E11;<50;50-100;500-1000;86.85;0.0;16.29
B;kE10E11;<50;100-200;<50;121.25;18.45;25.96
B;kE10E11;<50;100-200;50-100;129.07;17.95;26.87
B;kE10E11;<50;100-200;100-200;187.61;20.1;38.49
B;kE10E11;<50;100-200;200-500;236.05;17.69;47.77
B;kE10E11;<50;100-200;500-1000;337.71;14.09;68.77
B;kE10E11;<50;200-500;<50;154.45;12.67;32.28
B;kE10E11;<50;200-500;50-100;129.45;19.74;27.4
B;kE10E11;<50;200-500;100-200;164.17;20.99;33.81
B;kE10E11;<50;200-500;200-500;234.13;23.47;47.11
B;kE10E11;<50;200-500;500-1000;413.21;12.04;82.87
B;kE10E11;<50;500-1000;<50;161.63;37.88;37.97
B;kE10E11;<50;500-1000;50-100;133.38;33.39;29.28
B;kE10E11;<50;500-1000;100-200;227.23;7.05;46.49
B;kE10E11;<50;500-1000;200-500;353.24;7.79;71.81
B;kE10E11;<50;500-1000;500-1000;655.89;11.99;132.96
B;kE10E11;<50;1000-5000;100-200;268.3;64.67;63.29
B;kE10E11;<50;1000-5000;200-500;83.91;4.54;17.46
B;kE10E11;<50;1000-5000;500-1000;353.42;8.95;72.02
B;kE10E11;50-100;50-100;<50;128.27;7.5;25.13
B;kE10E11;50-100;50-100;50-100;91.16;13.2;20.2
B;kE10E11;50-100;50-100;100-200;106.24;8.06;22.17
B;kE10E11;50-100;50-100;200-500;196.32;28.07;41.98
B;kE10E11;50-100;100-200;<50;121.66;21.75;26.2
B;kE10E11;50-100;100-200;50-100;112.37;14.34;24.21
B;kE10E11;50-100;100-200;100-200;148.71;15.54;31.41
B;kE10E11;50-100;100-200;200-500;188.26;16.05;39.14
B;kE10E11;50-100;100-200;500-1000;384.17;15.35;79.12
B;kE10E11;50-100;100-200;1000-5000;270.51;0.0;54.1
